FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,1.25,1,D,D,W,D,W,L,0.5,0.25,0.25,-16
NH,0.75,0.25,L,L,W,D,L,L,-0.5,-0.75,0.5,-2
H,1,1,L,D,W,D,W,L,0,0.25,0,-3
NH,0.75,0.5,L,L,W,D,L,D,-0.25,-0.25,0.25,3
NH,1,1.5,D,L,W,W,W,L,0,0.75,-0.5,3
NH,1.5,1.5,W,W,L,W,W,L,0,0.25,0,3
NH,0.5,1,D,L,D,L,D,W,-0.25,0.25,-0.5,4
H,1.25,1,D,W,D,W,D,L,0.25,-0.25,0.25,-10
H,1,0.5,D,L,W,L,D,D,-0.25,-0.5,0.5,-2
NH,1,1.5,D,W,L,W,W,L,0.25,0.75,-0.5,15
NH,1.2,1.4,L,W,W,D,L,W,-0.4,0.4,-0.2,11
NH,0.8,1,L,W,D,W,L,D,-0.4,-0.2,-0.2,12
H,1.6,0.6,W,D,W,D,D,L,0.4,-0.2,1,-7
H,1.4,1.2,W,D,L,W,L,W,0.2,-0.4,0.2,-14
H,1.6,0.8,W,D,D,D,L,L,1.6,-0.4,0.8,-6
NH,1,0.8,D,L,D,L,D,W,0.2,0,0.2,-1
NH,1.8,1,W,W,W,D,D,L,0.6,0,0.8,6
NH,0.6,0.8,D,D,L,D,L,L,-0.2,-0.2,-0.2,-2
H,1.4,0.4,W,L,D,D,D,L,0.2,-0.6,1,1
H,1.4,1.2,D,W,W,L,W,W,0.6,-0.4,0.2,-12
H,1.333333333,0.8333333333,W,W,L,D,L,D,0.1666666667,-0.8333333333,0.5,-11
H,0.8333333333,1.666666667,D,D,L,W,W,L,-0.1666666667,0.3333333333,-0.8333333333,8
NH,1.166666667,1.833333333,W,L,D,W,W,D,0.1666666667,1.833333333,-0.6666666667,12
NH,1.166666667,0.6666666667,L,D,L,L,L,W,0.1666666667,-0.5,0.5,-15
H,0.5,1.666666667,L,D,D,D,W,W,-0.3333333333,0.5,-1.166666667,4
